Data;Hora;Oficina;ID Participante;Local;Coisa;Nome Participante;Avatar;Interface;Descrição;Objeto
2023-10-26;10:21:13;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: desenho;Fez login e iniciou os cookies com (82ocTO) (gio) e (hipopotamo);
2023-10-26;10:21:13;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: desenho;Reconectou - Atualização de página - F5;
2023-10-26;10:21:16;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-10-26;10:21:24;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 06;aviao
2023-10-26;10:21:24;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 4;aviao
2023-10-26;10:21:24;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 06;Aquarela_SEM_NOME_2023_10_26_10h_21m_24s_82ocTO_gio.jpg
2023-10-26;10:22:03;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 04;passaro
2023-10-26;10:22:03;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 2;passaro
2023-10-26;10:22:03;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 04;Aquarela_SEM_NOME_2023_10_26_10h_22m_03s_82ocTO_gio.jpg
2023-10-26;10:22:37;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 01;sol
2023-10-26;10:22:37;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 1;sol
2023-10-26;10:22:37;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 01;Aquarela_SEM_NOME_2023_10_26_10h_22m_37s_82ocTO_gio.jpg
2023-10-26;10:23:12;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 02;castelo_qr
2023-10-26;10:23:12;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 1;castelo_qr
2023-10-26;10:23:12;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 02;Aquarela_SEM_NOME_2023_10_26_10h_23m_12s_82ocTO_gio.jpg
2023-10-26;10:23:46;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 03;tinta
2023-10-26;10:23:46;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 2;tinta
2023-10-26;10:23:46;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 03;Aquarela_SEM_NOME_2023_10_26_10h_23m_46s_82ocTO_gio.jpg
2023-10-26;10:24:22;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 05;barco
2023-10-26;10:24:22;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 3;barco
2023-10-26;10:24:22;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 05;Aquarela_SEM_NOME_2023_10_26_10h_24m_22s_82ocTO_gio.jpg
2023-10-26;10:27:02;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 04;passaro
2023-10-26;10:27:02;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 2;passaro
2023-10-26;10:27:02;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 04;Aquarela_SEM_NOME_2023_10_26_10h_27m_02s_82ocTO_gio.jpg
2023-10-26;10:30:59;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 04;passaro
2023-10-26;10:30:59;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 2;passaro
2023-10-26;10:30:59;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 04;Aquarela_SEM_NOME_2023_10_26_10h_30m_59s_82ocTO_gio.jpg
2023-10-26;10:31:30;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: camera;Sistema escaneou o QR Code de Código 06;aviao
2023-10-26;10:31:30;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: Sistema;Inicia estrofe 4;aviao
2023-10-26;10:31:30;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: folha desenho;Participante mostrou qr-code 06;Aquarela_SEM_NOME_2023_10_26_10h_31m_30s_82ocTO_gio.jpg
2023-10-26;10:33:41;Aquarela_SEM_NOME;82ocTO;web;;gio;hipopotamo;Interface: login;Retornou a primeira página para alterar nome ou avatar;
